Name,Line 1,Line 2,Town,County,Postcode,lat,lng
Burger King,3 Wellington Road,Altens,Aberdeen,Aberdeen City,AB12 3JG,57.1088357,-2.0930866
Burger King,Queens Links Leisure Park Esplanade,,Aberdeen,Aberdeen City,AB24 5EN,57.1485065,-2.0772068
Burger King,Guild Street,,Aberdeen,Aberdeen City,AB11 5RG,57.1443263,-2.0966147
Burger King,1 Wellington Avenue,,Aldershot,Hampshire,GU11 1SD,51.2504816,-0.7615008
Burger King,Eureka Leisure Park,Trinity Road,Ashford,Kent,TN25 4AB,51.1617612,0.8710145
Burger King,159-160,High Street,Ayr,South Ayrshire Council,KA7 1PY,55.462126,-4.629539
Burger King,1 Cullwick Street,,Wolverhampton,West Midlands,WV1 2UN,52.5742376,-2.0999533
Burger King,Pyramid Shopping Centre,Grange Precinct,Birkenhead,Merseyside,CH41 2ZL,53.3889015,-3.0268077
Burger King,70 High Street,,Birmingham,West Midlands,B4 7SY,52.4797063,-1.8948399
Burger King,Strathkelvin Retail Park,Bishopbriggs,Strathclyde,East Dunbartonshire Council,G64 2TS,55.9215025,-4.2098974
Burger King,3584 Pine Grove Avenue,Port Huron,St. Clair County,,48060,43.0162092,-82.4498579
Burger King,128 Tremont Street,Boston,Suffolk County,,2108,42.3562933,-71.0618725
Burger King,34 Commercial Road,,Bournemouth,Dorset,BH2 5LP,50.7204166,-1.8815913
Burger King,Castle Lane East,,Bournemouth,Dorset,BH2 7DP,50.747378,-1.825198
Burger King,1200 South Brentwood Boulevard,Richmond Heights,St. Louis County,,63117,38.6317977,-90.345663
Burger King,174 Bath Road,Brunswick,Cumberland County,,4011,43.9069814,-69.9178585
Burger King,The Venue,Merlin Road,Bristol,South Gloucestershire,BS10 7SR,51.5234666,-2.6010152
Burger King,The Venue,Merlin Road,Bristol,South Gloucestershire,BS10 7SR,51.5234666,-2.6010152
Burger King,Unit 6,,Bristol,Eastville,BS5 6XX,51.4740607,-2.5650196
Burger King,42 The Horsefair,Broadmead,Bristol,Bristol City,BS1 3JE,51.4582048,-2.5901048
Burger King,Reel Cinema,Hollywood Park,Burnley,Lancashire,BB11 2EG,53.7844643,-2.2474961
Burger King,1 Bridge Hall Lane,,Bury,Greater Manchester,BL9 7PJ,53.592512,-2.270183
Burger King,143 Highway 641 South,Camden,Benton County,,38320,36.0597876,-88.1164654
Burger King,Unit 3 Cannock Gateway Retail Park,Eastern Way,Cannock,Staffordshire,WS11 8AB,52.6733202,-2.0204369
Burger King,27-39 Saint George's Street,,Canterbury,Kent,CT1 2LE,51.2773604,1.0831329
Burger King,77 Drum Hill Road,Chelmsford,Middlesex County,,1824,42.6245305,-71.3634215
Burger King,206 High Street,,Cheltenham,Gloucestershire,GL50 3HF,51.9014817,-2.075601
Burger King,1145 Tiogue Avenue,Coventry,Kent County,,2816,41.6794749,-71.5819184
Burger King,South Muirhead Road,Cumbernauld,Glasgow,North Lanarkshire,G67 1AX,55.9500213,-3.985266
Burger King,Crossways Business Park,Greenhithe,Dartford,Greenhithe,DA2 6QY,51.451809,0.266101
Burger King,20 Pershing Drive,Ansonia,New Haven County,,6401,41.3329159,-73.0835439
Burger King,47 Central Avenue,Dover,Strafford County,,3820,43.1818101,-70.8754662
Burger King,1 Charles Street,,Plymouth,,PL1 1RQ,50.3722784,-4.1378803
Burger King,Castlegate Drive,,Dudley,West Midlands,DY1 4TD,52.5136048,-2.0701178
Burger King,165 Dundee Avenue,Elgin,Kane County,,60120,42.0397751,-88.2806134
Burger King,1601 North Carolina 55,Durham,Durham County,,27707,35.9705749,-78.8944343
Burger King,Unit 4C Fountain Park,,Edinburgh,,EH11 1AF,55.9417331,-3.2168407
Burger King,89 Princes Street,,Edinburgh,,EH2 2ER,55.95191,-3.198335
Burger King,Egham By-Pass,,Egham,Surrey,TW20 9AZ,51.4354108,-0.5385187
Burger King,165 Dundee Avenue,Elgin,Kane County,,60120,42.0397751,-88.2806134
Burger King,904 Road Kingsbury Road,Erdington,Birmingham,West Midlands,B24 9PY,52.5184758,-1.8058963
Burger King,Food Court,,Farnborough,Hampshire,GU14 6YB,51.2919481,-0.7580758
Burger King,Saint Enoch Square,,Glasgow,Glasgow City,G1 4BW,55.8571897,-4.2547437
Burger King,Great Western Road,,Glasgow,Glasgow City,G15 6SA,55.9030895,-4.3779317
Burger King,Millennium Leisure Park,,London,Greater London,SE10 0QJ,51.4902669,0.0130275
Burger King,Unit 5 Ladymead Retail Park,,Guildford,Surrey,GU1 1AJ,51.2480817,-0.5795236
Burger King,151 West Main Street,Gun Barrel City,Henderson County,,75156,32.3305639,-96.1160199
Burger King,10654 North Carolina 903,Halifax,Halifax County,,27839,36.3626279,-77.6718485
Burger King,Teesbay Retail Park,,Hartlepool,,TS25 1XJ,54.6662683,-1.2092566
Burger King,601 South Broad Street,Lansdale,Montgomery County,,19446,40.2342238,-75.2903629
Burger King,26 Park Road South,Portsmouth,Havant,Hampshire,PO9 1HB,50.850397,-0.9850963
Burger King,Tollbar Way,,Southampton,Hampshire,SO30 2QY,50.9264821,-1.3109362
Burger King,1005 West 1st Street,Hereford,Deaf Smith County,,79045,34.8091497,-102.4096573
Burger King,485,Hillington Road,Hillington,Glasgow,G52 4BL,55.862289,-4.364693
Burger King,Retail Park,Stoneferry Road,Hull,Kingston upon Hull,HU7 0BA,53.7673957,-0.3282239
Burger King,302 Highway 41 South,Inverness,Citrus County,,34450,28.8319131,-82.3259372
Burger King,Unit 3,,Inverness,Highland Council,IV2 3PP,57.4789488,-4.2239373
Burger King,Ransomes Way,Ransomes Industrial Estate,Ipswich,Suffolk,IP3 9SN,52.0329899,1.2049499
Burger King,8695 Irvine Center Drive,Irvine,Orange County,,92618,33.6435887,-117.7437409
Burger King,Leisure Park,Queen's Drive,Kilmarnock,East Ayrshire Council,KA1 3XF,55.6014102,-4.4896165
Burger King,71 Boar Lane,,Leeds,West Yorkshire,LS1 6HW,53.7961726,-1.5431039
Burger King,3810 Old Cheney Road,Lincoln,Lancaster County,,68516,40.7558803,-96.6649246
Burger King,1102 East 47th Street,Kansas City,Jackson County,,64110,39.0421758,-94.5725884
Burger King,Mall,Livingston,Essex County,,7039,40.776231,-74.353527
Burger King,68-67 Week Street,,Maidstone,Kent,ME14 1RS,51.2758687,0.5225127
Burger King,3151 Matlock Road,Mansfield,Tarrant County,,76063,32.6085232,-97.1174793
Burger King,Unit 4 Marine Point,New Brighton,Wallasey,Merseyside,CH45 2HZ,53.4411082,-3.0451568
Burger King,7 Harewood Avenue,,London,Greater London,NW1 6JJ,51.5226568,-0.1634588
