Name,Line 1,Line 2,Town,County,Postcode,lat,lng
McDonald's,Muirend Road,Portlethen,Aberdeen,Aberdeenshire,AB12 4XP,57.0643664,-2.1378629
McDonald's,Buchan Way Ring Road Industrial Estate,,Peterhead,Aberdeenshire,AB42 3JL,57.4865108,-1.803691
McDonald's,25 Reform Street,,Dundee,Dundee City Council,DD1 1SG,56.4611775,-2.9705288
McDonald's,Longtown Road,Kingsway East,Dundee,Dundee City Council,DD4 8JT,56.477128,-2.928015
McDonald's,HALFPENNY BURN,,Forfar,Angus Council,DD8 1TE,56.6331292,-2.9227981
McDonald's,Ethiebeaton Park,Arbroath Road,Monifieth,Dundee,DD5 4HB,56.490441,-2.833015
McDonald's,Westway Westway Retail Park,,Arbroath,Angus Council,DD11 2NQ,56.5502169,-2.6109542
McDonald's,Kingsway West Kingsway Leisure Park,,Dundee,Dundee City Council,DD2 3SQ,56.4813707,-3.0219624
McDonald's,9 High Street,,Bedford,,MK40 1RN,52.1352286,-0.4659719
McDonald's,46/48,George Street,Luton,,LU1 2AZ,51.8790066,-0.4159793
McDonald's,2/8 Luton Road,,Dunstable,Central Bedfordshire,LU5 4UR,51.8876671,-0.5106449
McDonald's,Wyboston Service Station Southbound,Great North Road,Wyboston,Bedford,MK44 3AA,52.1931467,-0.298101
McDonald's,Aspects Leisure Park,Newnham Avenue,Bedford,,MK41 9LN,52.1340166,-0.445875
McDonald's,Interchange Retail Park,Race Meadows Way,Kempston Hardwick,Bedford,MK42 7AZ,52.1094637,-0.4849267
McDonald's,Watling Street,Hockliffe,Leighton Buzzard,Central Bedfordshire,LU7 9LZ,51.925742,-0.5776844
McDonald's,270 Marsh Road,Leagrave,Luton,,LU3 2TU,51.9069317,-0.4575221
McDonald's,Billington Road,,Leighton Buzzard,Central Bedfordshire,LU7 9HH,51.9013405,-0.65024
McDonald's,2b Chaul End Lane,Maidenhall,Luton,,LU4 8EZ,51.8906748,-0.4544658
McDonald's,Luton Retail Park,Gipsy Lane,Luton,,LU1 3JH,51.8723519,-0.3978839
McDonald's,Unit F1,,Biggleswade,Central Bedfordshire,SG18 8QB,52.0752441,-0.2430113
McDonald's,Ballymena Road Junction One Retail Park,,Antrim,Antrim and Newtownabbey,BT41 4LL,54.7311581,-6.2288
McDonald's,172 High Street,,Slough,,SL1 1JP,51.5084606,-0.5918668
