Name,Line 1,Line 2,Town,County,Postcode,lat,lng
Pret A Manger,234 Union Street,,Aberdeen,Aberdeen City,AB10 1TL,57.1444219,-2.1071081
Pret A Manger,Food Unit 3,Bon Accord Shopping Centre,Aberdeen,Aberdeen City,AB25 1HJ,57.1487395,-2.09976
Pret A Manger,25-27 Saint Peter's Street,,St Albans,Hertfordshire,AL1 3DP,51.7531745,-0.3381164
Pret A Manger,Brindley Place,,Birmingham,West Midlands,B1 2JB,52.478423,-1.9135965
Pret A Manger,Unit 32A Birmingham New Street Station,,Birmingham,West Midlands,B2 4PX,52.4778301,-1.9002002
Pret A Manger,Trident Road,,Birmingham,West Midlands,B26 3QJ,52.4531513,-1.7342944
Pret A Manger,22-24 Colmore Row,,Birmingham,West Midlands,B3 2QD,52.482048,-1.8978651
Pret A Manger,1 Newhall Street,,Birmingham,West Midlands,B3 3NH,52.4811862,-1.9011202
Pret A Manger,Upper Mall East,,Birmingham,West Midlands,B5 4BP,52.478023,-1.892319
Pret A Manger,29A High Street,,Solihull,West Midlands,B91 3TA,52.4127589,-1.7777683
Pret A Manger,Unit S015 Southgate Centre,,Bath,Bath and North East Somerset,BA1 1AP,51.3788406,-2.3580815
Pret A Manger,2 Stall Street,,Bath,Bath and North East Somerset,BA1 1QL,51.3814633,-2.3602711
Pret A Manger,Unit 37D Farm Road,,Street,Somerset,BA16 0BB,51.1291074,-2.7401127
Pret A Manger,14 Commercial Road,,Bournemouth,Dorset,BH2 5LP,50.7200956,-1.8809046
Pret A Manger,42 East Street,,Brighton,Brighton and Hove,BN1 1HL,50.8216356,-0.1390219
Pret A Manger,77 North Street,,Brighton,Brighton and Hove,BN1 1ZA,50.8235594,-0.1440279
Pret A Manger,Unit 2 & 3 Brighton Station Queen's Road,,Brighton,Brighton and Hove,BN1 3XP,50.82885839999999,-0.1406794
Pret A Manger,86 High Street,,Bromley,Greater London,BR1 1EY,51.40359420000001,0.0142472
Pret A Manger,Nugent Shopping Park,Cray Avenue,Orpington,Greater London,BR5 3RP,51.3929205,0.1124693
Pret A Manger,42 Baldwin Street,,Bristol,Bristol City,BS1 1PN,51.4533372,-2.5937206
Pret A Manger,95 Broadmead,Broadmead,Bristol,Bristol City,BS1 3DT,51.45694950000001,-2.5911014
Pret A Manger,32 Victoria Street,Redcliffe,Bristol,Bristol City,BS1 6BX,51.4526909,-2.588668
Pret A Manger,The Mall,Patchway,Bristol,South Gloucestershire,BS34 5DG,51.5255556,-2.5955556
Pret A Manger,29-30 Queens Road,,Bristol,Bristol City,BS8 1QE,51.45574209999999,-2.6054938
Pret A Manger,1 Station Square,,Cambridge,Cambridgeshire,CB1 2GA,52.1949589,0.1369482
Pret A Manger,22 Market Street,,Cambridge,Cambridgeshire,CB2 3NZ,52.2058548,0.1196557
Pret A Manger,Unit 6,Central Square,Cardiff,,CF10 1FS,51.4764231,-3.1793063
Pret A Manger,3 Bridge Street,Saint Davids Centre,Cardiff,,CF10 2EF,51.4795141,-3.174229
Pret A Manger,21-23 Northgate Street,,Chester,Cheshire West and Chester,CH1 2HA,53.1911516,-2.8916989
Pret A Manger,Unit 100 Kinsey Road,Chester,Ellesmere Port,Cheshire West and Chester,CH65 9JJ,53.26578170000001,-2.8791576
Pret A Manger,13-14 High Street,,Chelmsford,Essex,CM1 1BE,51.7337725,0.4736962
Pret A Manger,International Departure Lounge Stansted Airport,,Stansted,Essex,CM24 1RW,51.8881508,0.2583666
Pret A Manger,93a George Street,,Croydon,Greater London,CR0 1LD,51.3746367,-0.09456579999999999
Pret A Manger,7 Parade,,Canterbury,Kent,CT1 2JL,51.2787774,1.0806608
Pret A Manger,Unit L0006,,Greenhithe,Dartford,DA9 9SH,51.4396464,0.272095
Pret A Manger,1 Commercial Street,,London,Greater London,E1 6BF,51.5152472,-0.0723722
Pret A Manger,192 Shoreditch High Street,,London,Greater London,E1 6HU,51.52391309999999,-0.07748959999999999
Pret A Manger,128 Shoreditch High Street,,London,Greater London,E1 6JE,51.5267719,-0.0782813
Pret A Manger,21 Mansell Street,,London,Greater London,E1 8AA,51.5137806,-0.07332219999999999
Pret A Manger,7 West Ferry,,Canary Wharf,London,E14 4HD,51.505046,-0.019039
Pret A Manger,UNIT 320 Cabot Square,,London,Greater London,E14 4QS,51.50516890000001,-0.020189
Pret A Manger,1 Canada Square,,London,Greater London,E14 4QS,51.503711,-0.0169837
