Name,Line 1,Line 2,Town,County,Postcode,lat,lng
Bar + Block Aldgate,66 Alie Street,,London,Greater London,E1 8PX,51.5139696,-0.0702593
Bar + Block Bath,4 James Street West,,Bath,Bath and North East Somerset,BA1 2BX,51.3806321,-2.3644478
Bar + Block Belfast,2-6 Waring Street,,Belfast,,BT1 2DX,54.6008637,-5.9275315
Bar + Block Birmingham,3-6 Waterloo Street,,Birmingham,West Midlands,B2 5PG,52.4803937,-1.8996182
Bar + Block Kings Cross,26-30 York Way,,London,Greater London,N1 9AA,51.5318264,-0.1223087
Bar + Block Leamington Spa,148-150,Parade,Leamington Spa,Warwickshire,CV32 4AG,52.28894630000001,-1.5357969
Bar + Block Newcastle,95 Newgate Street,,Newcastle upon Tyne,Tyne and Wear,NE1 5RF,54.9732539,-1.6181003
Bar + Block Portsmouth Dockyard,Queen Street,Portsea,Portsmouth,,PO1 3EE,50.7994006,-1.1060857
Bar + Block Whiteley,Whiteley Shopping Centre,Whiteley Way,Whiteley,Fareham,PO15 7PD,50.8862129,-1.2484946
Bar + Block Wimbledon,153-161 The Broadway,,London,Greater London,SW19 1NE,51.4190614,-0.1986644
Bar + Block Winnersh,Reading Road,Winnersh,Wokingham,,RG41 5HQ,51.4372401,-0.8950889999999999
Beefeater Anchor,Lakeside Parkway,,Scunthorpe,North Lincolnshire,DN16 3UA,53.5634313,-0.6151871
Beefeater Badgers Sett,Birmingham Road,Hagley,Stourbridge,Worcestershire,DY9 9JS,52.4312367,-2.1051174
Beefeater Bagle Brook,Pentyla-Baglan Road,Baglan,Port Talbot,Neath Port Talbot Principle Area,SA12 8ES,51.6151691,-3.8073571
Beefeater Balmoral Inn,Romsey Road,Nursling,Southampton,Hampshire,SO16 0XJ,50.945294,-1.461716
Beefeater Bamford Arms,Buxton Road,Heaviley,Stockport,Stockport,SK2 6NB,53.396317,-2.1495706
Beefeater Belgrave,Belgrave Road,,Torquay,Torbay,TQ2 5HE,50.46361599999999,-3.5354565
Beefeater Bentley Green,Bentley Road North,,Walsall,West Midlands,WS2 0WB,52.5817938,-2.0267361
Beefeater Black Bear,601 Hamilton Road,Uddingston,Glasgow,Glasgow City,G71 7SA,55.8369596,-4.1103504
Beefeater Border Gate,Carleton,Carleton,Carlisle,Cumbria,CA4 0AD,54.85891780000001,-2.8796839
Beefeater Bridge Barn,Bridge Barn Lane,Horsell,Woking,Surrey,GU21 6NL,51.317183,-0.574828
Beefeater Bristol Fashion,The Haymarket,,Bristol,Bristol City,BS1 3LR,51.459024,-2.5915336
Beefeater Broomside Park,Belmont Industrial Estate,Broomside Lane,Durham,County Durham,DH1 1GG,54.7867749,-1.5425925
Beefeater Buckingham,Needlepin Way,,Buckingham,Buckinghamshire,MK18 1SH,51.9885061,-0.9772417
Beefeater Carnon Inn,Old Carnon Hill,Carnon Downs,Truro,Cornwall,TR3 6JZ,50.2260072,-5.082799500000001
Beefeater Christie Field,Derwent Avenue,West Didsbury,Manchester,Greater Manchester,M21 7QS,53.4255285,-2.257436
Beefeater Cirencester,Cricklade Road,,Cirencester,Gloucestershire,GL7 1NP,51.7078679,-1.9544218
Beefeater Coach & Horses,Newport Road,Castleton,Cardiff,Newport,CF3 2UQ,51.5464533,-3.0781002
Beefeater Coreys Mill,Coreys Mill Lane,,Stevenage,Hertfordshire,SG1 4AA,51.9236043,-0.2163011
Beefeater Countess Wear,398 Topsham Road,,Exeter,Devon,EX2 6HE,50.7003736,-3.4944436
Beefeater Crooked Lum,Brunel Way,East Kilbride,Glasgow,South Lanarkshire,G75 0JY,55.7577595,-4.1707449
Beefeater Cross Hands,Tewkesbury Road,Uckington,Cheltenham,Gloucestershire,GL51 9SL,51.916353,-2.1054664
Beefeater Crossbush,Crossbush Lane,,Arundel,West Sussex,BN18 9PQ,50.8457198,-0.540458
Beefeater Crows Nest,Tring Hill,,Tring,Buckinghamshire,HP23 4LD,51.7934592,-0.6929489999999999
Beefeater Deer Park,Deer Park Avenue Deer Park,,Livingston,Deans,EH54 8AD,55.9153154,-3.52593
Beefeater Dog & Duck,London Road,,Wellingborough,Northamptonshire,NN8 2DP,52.2931557,-0.6838014
Beefeater Downshire Arms,Downshire Way,,Bracknell,Bracknell Forest,RG12 7AA,51.4121441,-0.7587176
Beefeater Dundee,Riverside Drive,,Dundee,Dundee City Council,DD1 4XA,56.45598529999999,-2.9700534
Beefeater Emersons Green,200-202 Westerleigh Road,Emersons Green,Bristol,South Gloucestershire,BS16 7AN,51.498421,-2.480489
Beefeater Eureka Park,Eureka Leisure Park,,Ashford,Kent,TN25 4BN,51.1625727,0.8700924999999999
Beefeater Euston Way,Euston Way,Overdale,Telford,Shropshire,TF3 4LY,52.681225,-2.4393501
Beefeater Farnborough Town Centre,3 Kingsmead,,Farnborough,Hampshire,GU14 7SJ,51.2936578,-0.7549773
Beefeater Farnham,Guildford Road,,Farnham,Surrey,GU9 9QJ,51.2190225,-0.7827170999999999
Beefeater Frome Flyer,commerce park,Jenson Avenue,Frome,Somerset,BA11 2LD,51.24474559999999,-2.2906957
Beefeater George In The Tree,Kenilworth Road,Balsall Common,Coventry,West Midlands,CV7 7EX,52.3996565,-1.6558242
Beefeater Glegg Arms,Chester Road,,Wirral,Merseyside,CH60 3SD,53.32236150000001,-3.0836109
Beefeater Gloucester Quayside,St Ann's Way Bakers Quay,,Gloucester,Gloucestershire,GL1 5SF,51.8587917,-2.2548899
Beefeater Gourdie Croft,Kingsway West,,Dundee,Dundee City Council,DD2 5JU,56.47028599999999,-3.059666
Beefeater Great Oak,Buckmore Farm,Winchester Road,Petersfield,Hampshire,GU32 3SB,51.0092331,-0.9477303
Beefeater Griff House,Coventry Road,Griff,Nuneaton,Warwickshire,CV10 7PJ,52.4965388,-1.4737399
